org1,org2,total,2008,2009,2010,2011,2012,2013
FOAT,FMDY,0.0100806343,0.0042016807,0.0002903600,0.0000000000,0.0049239387,0.0018315018,0.0000000000
REST,FENG,0.0151551416,0.0028613011,0.0031086283,0.0027370879,0.0017444813,0.0021380064,0.0033511922
REST,FMDY,0.0029869568,0.0004200111,0.0006879190,0.0007478403,0.0004925421,0.0003130971,0.0005293601
INST,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMVS,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INST,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,FENG,0.0054255783,0.0062893082,0.0000000000,0.0002283105,0.0000000000,0.0003584229,0.0002306728
REST,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FMDY,0.0036216847,0.0005215799,0.0005219717,0.0013370204,0.0004641822,0.0004851927,0.0005422654
FENG,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
