org1,org2,total,2008,2009,2010,2011,2012,2013
FOAT,FMDY,0.0002880181,0.0001200480,0.0000082960,0.0000000000,0.0001406840,0.0000523286,0.0000000000
REST,FENG,0.0037887854,0.0007153253,0.0007771571,0.0006842720,0.0004361203,0.0005345016,0.0008377980
REST,FMDY,0.0004267081,0.0000600016,0.0000982741,0.0001068343,0.0000703632,0.0000447282,0.0000756229
INST,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMVS,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INST,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,FENG,0.0002712789,0.0003144654,0.0000000000,0.0000114155,0.0000000000,0.0000179211,0.0000115336
REST,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FMDY,0.0001293459,0.0000186279,0.0000186418,0.0000477507,0.0000165779,0.0000173283,0.0000193666
FENG,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
